证券名称,证券代码,所属申万行业名称(港股)(2021)
达利国际,0608.HK,----
天德化工,0609.HK,----
WAI KEE HOLD,0610.HK,----
中国核能科技,0611.HK,----
嘉文世纪投资公司,0612.HK,非银金融--多元金融--资产管理
梧桐国际,0613.HK,----
高山企业,0616.HK,----
百利保控股,0617.HK,----
北大资源,0618.HK,----
南华金融,0619.HK,----
大唐西市,0620.HK,----
坛金矿业,0621.HK,----
威华达控股,0622.HK,----
中视金桥,0623.HK,----
大众金融控股,0626.HK,----
共生智筑,0627.HK,----
通通AI社交,0628.HK,----
悦达国际控股,0629.HK,----
隽泰控股,0630.HK,----
三一国际,0631.HK,机械设备--专用设备--能源及重型设备
中港石油,0632.HK,----
彩星集团,0635.HK,----
KLN,0636.HK,交通运输--物流--跨境物流
利记,0637.HK,----
广和通,0638.HK,通信--通信设备--通信终端及配件
首钢资源,0639.HK,煤炭--煤炭开采--焦煤
星谦发展,0640.HK,----
中国恒天立信国际,0641.HK,----
恒富控股,0643.HK,----
安域亚洲,0645.HK,----
中国环保科技,0646.HK,----
京玖康疗,0648.HK,----
普达特科技,0650.HK,电子--半导体--半导体设备
卓悦控股,0653.HK,----
香港华人有限公司,0655.HK,----
复星国际,0656.HK,综合--综合Ⅱ--综合Ⅲ
环科国际,0657.HK,----
中国高速传动,0658.HK,机械设备--通用设备--其他通用设备
周大福创建,0659.HK,建筑装饰--基础建设--基建市政工程
玮俊生物科技,0660.HK,----
中国大冶有色金属,0661.HK,----
亚洲金融,0662.HK,----
金山能源,0663.HK,----
瑞浦兰钧,0666.HK,电力设备--电池--蓄电池及其他电池
中国东方教育,0667.HK,社会服务--教育--培训教育
创科实业,0669.HK,家用电器--其他家电Ⅱ--其他家电Ⅲ
中国东方航空股份,0670.HK,交通运输--航空机场--航空运输
众安集团,0672.HK,----
中国卫生集团,0673.HK,----
中国唐商,0674.HK,----
坚宝国际,0675.HK,----
创信国际,0676.HK,----
金源发展国际实业,0677.HK,----
亚洲联网科技,0679.HK,----
中民控股,0681.HK,----
超大现代,0682.HK,----
嘉里建设,0683.HK,房地产--房地产开发--商业地产
亚伦国际,0684.HK,----
世界华文媒体,0685.HK,----
北京能源国际,0686.HK,公用事业--电力--光伏发电
泰升集团,0687.HK,建筑装饰--专业工程--其他专业工程
中国海外发展,0688.HK,房地产--房地产开发--住宅开发
长盈集团(控股),0689.HK,----
联康生物科技集团,0690.HK,----
山水水泥,0691.HK,建筑材料--水泥--水泥制品
陈唱国际,0693.HK,----
北京首都机场股份,0694.HK,交通运输--航空机场--机场
东吴水泥,0695.HK,----
中国民航信息网络,0696.HK,计算机--软件开发--垂直应用软件
首程控股,0697.HK,非银金融--多元金融--资产管理
通达集团,0698.HK,电子--消费电子--消费电子零部件及组装
均胜电子,0699.HK,汽车--汽车零部件--汽车电子电气系统
腾讯控股,0700.HK,传媒--社交Ⅱ--社交Ⅲ
CNT GROUP,0701.HK,----
中国油气控股,0702.HK,----
FUTURE BRIGHT,0703.HK,----
和嘉控股,0704.HK,----
亚洲电视控股,0707.HK,----
恒大汽车,0708.HK,----
佐丹奴国际,0709.HK,纺织服饰--服装家纺--非运动服装
京东方精电,0710.HK,汽车--汽车零部件--汽车电子电气系统
亚洲联合基建控股,0711.HK,----
卡姆丹克太阳能,0712.HK,----
世界(集团),0713.HK,----
胜狮货柜,0716.HK,----
英皇资本,0717.HK,----
太和控股,0718.HK,商贸零售--一般零售--多业态零售
山东新华制药股份,0719.HK,医药生物--化学制药--原料药
意达利控股,0720.HK,----
中国金融国际,0721.HK,----
联合医务,0722.HK,----
信保环球控股,0723.HK,----
瑞鑫国际集团,0724.HK,----
恒都集团,0725.HK,----
筑友智造科技,0726.HK,----
皇冠环球集团,0727.HK,----
中国电信,0728.HK,通信--通信服务--电信运营商
首惠产业金融,0730.HK,----
建发新胜,0731.HK,----
信利国际,0732.HK,电子--光学光电子--面板
合富辉煌,0733.HK,----
中国置业投资,0736.HK,----
湾区发展,0737.HK,交通运输--铁路公路--高速公路
莱尔斯丹,0738.HK,----
亚洲水泥(中国),0743.HK,建筑材料--水泥--水泥制造
中国国家文化产业,0745.HK,----
理文化工,0746.HK,----
沈阳公用发展股份,0747.HK,----
水发兴业能源,0750.HK,----
创维集团,0751.HK,家用电器--黑色家电--彩电
PICO FAR EAST,0752.HK,----
中国国航,0753.HK,交通运输--航空机场--航空运输
合生创展集团,0754.HK,房地产--房地产开发--住宅开发
大方广瑞德,0755.HK,----
森美控股,0756.HK,----
阳光能源,0757.HK,----
CEC INT'L HOLD,0759.HK,----
新天地产集团,0760.HK,----
中国联通,0762.HK,通信--通信服务--电信运营商
中兴通讯,0763.HK,通信--通信设备--通信网络设备及器件
永恒策略,0764.HK,----
PERFECTECH INTL,0765.HK,----
中基长寿科学,0767.HK,----
开明投资,0768.HK,----
中国稀土,0769.HK,----
SHANGHAI GROWTH,0770.HK,----
自动系统,0771.HK,----
阅文集团,0772.HK,传媒--数字媒体--文字媒体
长江生命科技,0775.HK,医药生物--生物制品--其他生物制品
帝国科技集团,0776.HK,----
网龙,0777.HK,传媒--游戏Ⅱ--游戏Ⅲ
同程旅行,0780.HK,社会服务--旅游及景区--旅游综合
凌锐控股,0784.HK,----
中国铁塔,0788.HK,通信--通信服务--通信工程及服务
雅天妮集团,0789.HK,----
锦胜集团(控股),0794.HK,----
第七大道,0797.HK,----
中电光谷,0798.HK,----
IGG,0799.HK,传媒--游戏Ⅱ--游戏Ⅲ
文远知行-W,0800.HK,----
中国钱包,0802.HK,----
鼎石资本,0804.HK,----
新吉奥房车,0805.HK,----
惠理集团,0806.HK,非银金融--多元金融--资产管理
上海实业环境,0807.HK,----
大成生化科技,0809.HK,----
中国铸晨81,0810.HK,----
新华文轩,0811.HK,传媒--出版--教育出版
世茂集团,0813.HK,房地产--房地产开发--住宅开发
北京京客隆,0814.HK,----
中国白银集团,0815.HK,----
金茂服务,0816.HK,房地产--房地产服务--物业管理
中国金茂,0817.HK,房地产--房地产开发--住宅开发
高阳科技,0818.HK,----
天能动力,0819.HK,电力设备--电池--蓄电池及其他电池
汇盈控股,0821.HK,----
嘉瑞国际,0822.HK,----
新世界百货中国,0825.HK,----
天工国际,0826.HK,钢铁--特钢Ⅱ--特钢Ⅲ
玖源集团,0827.HK,----
王朝酒业,0828.HK,----
神冠控股,0829.HK,----
中国建筑兴业,0830.HK,----
利亚零售,0831.HK,----
建业地产,0832.HK,房地产--房地产开发--住宅开发
华讯,0833.HK,----
康大食品,0834.HK,----
华润电力,0836.HK,公用事业--电力--火力发电
谭木匠,0837.HK,----
亿和控股,0838.HK,----
中教控股,0839.HK,社会服务--教育--学历教育
天业节水,0840.HK,----
木薯资源,0841.HK,----
理士国际,0842.HK,----
广泰国际控股,0844.HK,----
恒盛地产,0845.HK,房地产--房地产开发--住宅开发
明发集团,0846.HK,----
茂业国际,0848.HK,----
盛源控股,0851.HK,----
海峡石油化工,0852.HK,----
微创医疗,0853.HK,医药生物--医疗器械--医疗耗材
